Song Title,Artist,YouTube ID
Dangerous,Hailee Steinfield,ukhnKPEefzw
Stop Playing With Me,Tyler the Creator,pmlqEKklWqs
Document 79,Scru Face Jean,GA9nxLD4s9A
Tear Me Down,"Joyner Lucas, Ava Maxx",uFI673qvhWc
The Birds Don't Sing,"Clipse, John Legend",mh61DsXSLmk
Chains & Whip,"Clipse, Kendrick Lamar",P-9aHIcg1Vc
I Can,Nas,y14A_5QEvjA
"Pale, Pale Moon",Jayme Lawson,1AOydLHGMnY
Akadiddy,Scru Face Jean,Ksuv1wxBsVA
Not Like Us,Kendrick Lamar,T6eK-2OQtew
Anxiety,Doechii,egemoVK0IKY
Big Dawgs,Hanumankind,hOHKltAiKXQ
The Bottom 3,Glorb,AYPv2Ds8lFc
The Pretender,The Foo Fighters,m4OnAwaDVTE
Daydreamin',"Lupe Fiasco, Jill Scott",C0rcii5DCms
Somewhere I Belong,Linkin' Park,GEGieUB4b3c
Psychosocial,Slipknot,DhP6xS63U1M
You Give Love a Bad Name,Bon Jovi,d2GynqGsokU
Reincarnated,Kendrick Lamar,Ek7UvQPCQnE
Satta,Greentea Peng,GmbwK_a2QYE
Somebody Save Me,"Eminem, Jelly Roll",p5QWoWZXu14
La La La,LMFAO,aGtNVZROB4A
Eraser,Ed Sheeran,OjGrcJ4lZCc
Perish Song,Trickywi,6Jzbdg4t4f4
Mirio Rap,Daddyphatsnaps,YjCmpMxUm8A
27 Summers,Nas,iIRIWcHELu4
As We Enter,"Nas, Damien Marley",OMGd3mAfl-0
Agoraphobic,CORPSE,ra-XCs6LHAM
Dem Nuh Know,Vershon,JdGFKldLA6A
Alejandro,Lady Gaga,06MV87zoZaY
Mudergram Deux,"LL Cool J, Eminem",BG6K1uV10fw
The Search,NF,zWFQOIDBKBs
Determinate,Lemonade Mouth,o9fE2o4ddM8
Be Ill,"Rakim, Kurupt, Masta Killa",3eTUivpXPDw
Open Scars,Young M.A.,vbZnuvyuBFk
Vegas,Doja Cat,kKpctBHTOGU
Am I Dreaming,"Metro Boomin, A$AP Rocky, Roisee",7aUZtDaxS60
Out of Time,The Weeknd,kxgj5af8zg4
Not For Me,Backstreet Boys,98pA5zs_tsU
Natural,S Club 7,61VZKryjvc8
Dedication,"Nipsey Hussle, Kendrick Lamar",RXmfYM6dSFg
Contradictions,Coast Contra,kpne0UUHo5w
